"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"CRGB01COUNTRY","AF","AFGHANISTAN",,
"CRGB01R010C010","AF","111",,
"CRGB01R010C020","AF","270",,
"CRGB01R010C040","AF","600",,
"CRGB01R010C050","AF","760",,
"CRGB01R010C055","AF","150",,
"CRGB01R010C060","AF","920",,
"CRGB01R010C070","AF","1080",,
"CRGB01R010C075","AF","23",,
"CRGB01R010C080","AF","110",,
"CRGB01R020C010","AF","110",,
"CRGB01R020C020","AF","280",,
"CRGB01R020C040","AF","610",,
"CRGB01R020C050","AF","770",,
"CRGB01R020C055","AF","320",,
"CRGB01R020C060","AF","930",,
"CRGB01R020C070","AF","1090",,
"CRGB01R020C075","AF","24",,
"CRGB01R020C080","AF","110",,
"CRGB01R030C010","AF","120",,
"CRGB01R030C020","AF","290",,
"CRGB01R030C040","AF","620",,
"CRGB01R030C050","AF","780",,
"CRGB01R030C055","AF","2310",,
"CRGB01R030C060","AF","940",,
"CRGB01R030C070","AF","1100",,
"CRGB01R030C075","AF","25",,
"CRGB01R030C080","AF","110",,
"CRGB01R040C010","AF","130",,
"CRGB01R040C020","AF","300",,
"CRGB01R040C040","AF","630",,
"CRGB01R040C050","AF","790",,
"CRGB01R040C055","AF","2620",,
"CRGB01R040C060","AF","950",,
"CRGB01R040C070","AF","1110",,
"CRGB01R040C075","AF","26",,
"CRGB01R040C080","AF","110",,
"CRGB01R050C010","AF","140",,
"CRGB01R050C020","AF","310",,
"CRGB01R050C040","AF","640",,
"CRGB01R050C050","AF","800",,
"CRGB01R050C055","AF","2920",,
"CRGB01R050C060","AF","960",,
"CRGB01R050C070","AF","1120",,
"CRGB01R050C075","AF","27",,
"CRGB01R050C080","AF","110",,
"CRGB01R060C010","AF","160",,
"CRGB01R060C020","AF","330",,
"CRGB01R060C040","AF","660",,
"CRGB01R060C050","AF","820",,
"CRGB01R060C055","AF","970",,
"CRGB01R060C060","AF","980",,
"CRGB01R060C070","AF","1140",,
"CRGB01R060C075","AF","28",,
"CRGB01R060C080","AF","110",,
"CRGB01R070C010","AF","170",,
"CRGB01R070C020","AF","340",,
"CRGB01R070C040","AF","670",,
"CRGB01R070C050","AF","830",,
"CRGB01R070C055","AF","3510",,
"CRGB01R070C060","AF","990",,
"CRGB01R070C070","AF","1150",,
"CRGB01R070C075","AF","29",,
"CRGB01R070C080","AF","110",,
"CRGB01R070C090","AF","136",,
"CRGB01R075C010","AF","82",,
"CRGB01R075C020","AF","83",,
"CRGB01R075C040","AF","84",,
"CRGB01R075C050","AF","85",,
"CRGB01R075C055","AF","86",,
"CRGB01R075C060","AF","87",,
"CRGB01R075C070","AF","88",,
"CRGB01R075C075","AF","30",,
"CRGB01R075C080","AF","89",,
"CRGB01R075C090","AF","90",,
"CRGB01R080C010","AF","180",,
"CRGB01R080C020","AF","350",,
"CRGB01R080C040","AF","680",,
"CRGB01R080C050","AF","840",,
"CRGB01R080C055","AF","3820",,
"CRGB01R080C060","AF","1000",,
"CRGB01R080C070","AF","1160",,
"CRGB01R080C075","AF","31",,
"CRGB01R080C080","AF","110",,
"CRGB01R080C090","AF","137",,
"CRGB01R085C010","AF","109",,
"CRGB01R085C020","AF","110",,
"CRGB01R085C040","AF","111",,
"CRGB01R085C050","AF","112",,
"CRGB01R085C055","AF","113",,
"CRGB01R085C060","AF","114",,
"CRGB01R085C070","AF","115",,
"CRGB01R085C075","AF","32",,
"CRGB01R085C080","AF","116",,
"CRGB01R085C090","AF","255",,
"CRGB01R090C010","AF","190",,
"CRGB01R090C020","AF","360",,
"CRGB01R090C040","AF","1000",,
"CRGB01R090C050","AF","850",,
"CRGB01R090C055","AF","4140",,
"CRGB01R090C060","AF","1010",,
"CRGB01R090C070","AF","1170",,
"CRGB01R090C075","AF","33",,
"CRGB01R090C080","AF","110",,
"CRGB01R090C090","AF","139",,
"CRGB01R095C010","AF","109",,
"CRGB01R095C020","AF","110",,
"CRGB01R095C040","AF","111",,
"CRGB01R095C050","AF","112",,
"CRGB01R095C055","AF","113",,
"CRGB01R095C060","AF","114",,
"CRGB01R095C070","AF","115",,
"CRGB01R095C075","AF","34",,
"CRGB01R095C080","AF","116",,
"CRGB01R095C090","AF","117",,
"CRGB01R100C010","AF","200",,
"CRGB01R100C075","AF","35",,
"CRGB01R100C080","AF","110",,
"CRGB01R110C010","AF","210",,
"CRGB01R110C020","AF","370",,
"CRGB01R110C040","AF","700",,
