"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"CRSAEXPOSURE","SAEQEXP","Equity Exposures",,
"CRSAR010C010","SAEQEXP","4495",,
"CRSAR010C030","SAEQEXP","-8053",,
"CRSAR010C040","SAEQEXP","-3558",,
"CRSAR010C050","SAEQEXP","-1413",,
"CRSAR010C060","SAEQEXP","-15220",,
"CRSAR010C070","SAEQEXP","-1315",,
"CRSAR010C080","SAEQEXP","-17445",,
"CRSAR010C090","SAEQEXP","-35393",,
"CRSAR010C100","SAEQEXP","4495",,
"CRSAR010C110","SAEQEXP","-34456",,
"CRSAR020C010","SAEQEXP","1000",,
"CRSAR020C030","SAEQEXP","-1527",,
"CRSAR020C040","SAEQEXP","-527",,
"CRSAR020C050","SAEQEXP","-263",,
"CRSAR020C060","SAEQEXP","-2686",,
"CRSAR020C070","SAEQEXP","-263",,
"CRSAR020C080","SAEQEXP","-3076",,
"CRSAR020C090","SAEQEXP","-6288",,
"CRSAR020C100","SAEQEXP","1420",,
"CRSAR020C110","SAEQEXP","-5395",,
"CRSAR030C010","SAEQEXP","550",,
"CRSAR030C030","SAEQEXP","-1538",,
"CRSAR030C040","SAEQEXP","-988",,
"CRSAR030C050","SAEQEXP","-266",,
"CRSAR030C060","SAEQEXP","-2738",,
"CRSAR030C070","SAEQEXP","-263",,
"CRSAR030C080","SAEQEXP","-3135",,
"CRSAR030C090","SAEQEXP","-6402",,
"CRSAR030C100","SAEQEXP","947",,
"CRSAR030C110","SAEQEXP","-6443",,
"CRSAR040C010","SAEQEXP","2390",,
"CRSAR040C030","SAEQEXP","-1549",,
"CRSAR040C040","SAEQEXP","841",,
"CRSAR040C050","SAEQEXP","-269",,
"CRSAR040C060","SAEQEXP","-2789",,
"CRSAR040C070","SAEQEXP","-263",,
"CRSAR040C080","SAEQEXP","-3194",,
"CRSAR040C090","SAEQEXP","-6515",,
"CRSAR040C100","SAEQEXP","2000",,
"CRSAR040C110","SAEQEXP","-3674",,
"CRSAR050C010","SAEQEXP","899",,
"CRSAR050C030","SAEQEXP","-1560",,
"CRSAR050C040","SAEQEXP","-661",,
"CRSAR050C050","SAEQEXP","-271",,
"CRSAR050C060","SAEQEXP","-2840",,
"CRSAR050C070","SAEQEXP","-263",,
"CRSAR050C080","SAEQEXP","-3253",,
"CRSAR050C090","SAEQEXP","-6627",,
"CRSAR050C100","SAEQEXP","899",,
"CRSAR050C110","SAEQEXP","-6389",,
"CRSAR060C010","SAEQEXP","899",,
"CRSAR060C030","SAEQEXP","-1571",,
"CRSAR060C040","SAEQEXP","-672",,
"CRSAR060C050","SAEQEXP","-274",,
"CRSAR060C060","SAEQEXP","-2891",,
"CRSAR060C070","SAEQEXP","-263",,
"CRSAR060C080","SAEQEXP","-3312",,
"CRSAR060C090","SAEQEXP","-6740",,
"CRSAR060C100","SAEQEXP","899",,
"CRSAR060C110","SAEQEXP","-6513",,
"CRSAR070C010","SAEQEXP","899",,
"CRSAR070C020","SAEQEXP","899",,
"CRSAR070C030","SAEQEXP","-1582",,
"CRSAR070C040","SAEQEXP","-683",,
"CRSAR070C050","SAEQEXP","-277",,
"CRSAR070C060","SAEQEXP","-2942",,
"CRSAR070C070","SAEQEXP","-263",,
"CRSAR070C080","SAEQEXP","-3371",,
"CRSAR070C090","SAEQEXP","-6853",,
"CRSAR070C100","SAEQEXP","899",,
"CRSAR070C110","SAEQEXP","-6637",,
"CRSAR080C010","SAEQEXP","899",,
"CRSAR080C020","SAEQEXP","899",,
"CRSAR080C030","SAEQEXP","-1593",,
"CRSAR080C040","SAEQEXP","-694",,
"CRSAR080C050","SAEQEXP","-280",,
"CRSAR080C060","SAEQEXP","-2993",,
"CRSAR080C070","SAEQEXP","-263",,
"CRSAR080C080","SAEQEXP","-3430",,
"CRSAR080C090","SAEQEXP","-6966",,
"CRSAR080C100","SAEQEXP","899",,
"CRSAR080C110","SAEQEXP","-6761",,
"CRSAR090C010","SAEQEXP","899",,
"CRSAR090C030","SAEQEXP","-1604",,
"CRSAR090C040","SAEQEXP","-705",,
"CRSAR090C050","SAEQEXP","-283",,
"CRSAR090C060","SAEQEXP","-3044",,
"CRSAR090C070","SAEQEXP","-263",,
"CRSAR090C080","SAEQEXP","-3489",,
"CRSAR090C090","SAEQEXP","-7079",,
"CRSAR090C100","SAEQEXP","899",,
"CRSAR090C110","SAEQEXP","-6885",,
"CRSAR100C010","SAEQEXP","899",,
"CRSAR100C030","SAEQEXP","-1615",,
"CRSAR110C010","SAEQEXP","899",,
"CRSAR110C030","SAEQEXP","-1626",,
"CRSAR110C040","SAEQEXP","-727",,
"CRSAR110C050","SAEQEXP","-285",,
"CRSAR110C060","SAEQEXP","-3095",,
"CRSAR110C070","SAEQEXP","-263",,
"CRSAR110C080","SAEQEXP","-3548",,
"CRSAR110C090","SAEQEXP","-7191",,
"CRSAR110C100","SAEQEXP","899",,
"CRSAR110C110","SAEQEXP","-7019",,
"CRSAR120C010","SAEQEXP","899",,
"CRSAR120C030","SAEQEXP","-1637",,
"CRSAR130C010","SAEQEXP","899",,
"CRSAR130C030","SAEQEXP","-1648",,
"CRSAR130C040","SAEQEXP","-749",,
"CRSAR130C050","SAEQEXP","-288",,
"CRSAR130C060","SAEQEXP","-3146",,
"CRSAR130C070","SAEQEXP","-263",,
"CRSAR130C080","SAEQEXP","-3607",,
"CRSAR130C090","SAEQEXP","-7304",,
"CRSAR130C100","SAEQEXP","899",,
"CRSAR130C110","SAEQEXP","-7154",,
"CRSAEXPOSURE","SACOVBOND","Covered bonds",,
"CRSAR010C010","SACOVBOND","138",,
"CRSAR010C030","SACOVBOND","-4753",,
"CRSAR010C040","SACOVBOND","-4615",,
"CRSAR010C050","SACOVBOND","-1133",,
"CRSAR010C060","SACOVBOND","-10110",,
"CRSAR010C070","SACOVBOND","-1315",,
"CRSAR010C080","SACOVBOND","-11545",,
"CRSAR010C090","SACOVBOND","-24103",,
"CRSAR010C100","SACOVBOND","-166",,
"CRSAR010C110","SACOVBOND","-28884",,
"CRSAR020C010","SACOVBOND","111",,
"CRSAR020C030","SACOVBOND","-867",,
"CRSAR020C040","SACOVBOND","-756",,
"CRSAR020C050","SACOVBOND","-207",,
"CRSAR020C060","SACOVBOND","-1664",,
"CRSAR020C070","SACOVBOND","-263",,
"CRSAR020C080","SACOVBOND","-1896",,
"CRSAR020C090","SACOVBOND","-4030",,
"CRSAR020C100","SACOVBOND","3",,
"CRSAR020C110","SACOVBOND","-4783",,
"CRSAR030C010","SACOVBOND","131",,
"CRSAR030C030","SACOVBOND","-878",,
"CRSAR030C040","SACOVBOND","-747",,
"CRSAR030C050","SACOVBOND","-210",,
