"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"CRSCR010C010","1","16264",,
"CRSCR010C020","1","-2780",,
"CRSCR010C030","1","-2578",,
"CRSCR010C040","1","2160",,
"CRSCR010C050","1","28530",,
"CRSCR010C060","1","-27700",,
"CRSCR010C070","1","830",,
"CRSCR010C080","1","-27960",,
"CRSCR010C090","1","-28090",,
"CRSCR010C100","1","-56050",,
"CRSCR010C110","1","28220",,
"CRSCR020C010","1","7376",,
"CRSCR020C020","1","-1719",,
"CRSCR020C030","1","-1618",,
"CRSCR020C040","1","1180",,
"CRSCR020C050","1","14610",,
"CRSCR020C060","1","-13740",,
"CRSCR020C070","1","870",,
"CRSCR020C080","1","-13860",,
"CRSCR020C090","1","-13920",,
"CRSCR020C100","1","-27780",,
"CRSCR020C110","1","13980",,
"CRSCR030C010","1","16264",,
"CRSCR030C020","1","-2780",,
"CRSCR030C030","1","-2578",,
"CRSCR030C040","1","2160",,
"CRSCR030C050","1","3010",,
"CRSCR030C060","1","-3060",,
"CRSCR030C070","1","-50",,
"CRSCR030C080","1","-3160",,
"CRSCR030C090","1","-3210",,
"CRSCR030C100","1","-6370",,
"CRSCR030C110","1","3260",,
"CRSCR040C010","1","12221",,
"CRSCR040C020","1","-1319",,
"CRSCR040C030","1","-1218",,
"CRSCR040C040","1","780",,
"CRSCR040C050","1","800",,
"CRSCR040C060","1","-820",,
"CRSCR040C070","1","-20",,
"CRSCR040C080","1","-860",,
"CRSCR040C090","1","-880",,
"CRSCR040C100","1","-1740",,
"CRSCR040C110","1","900",,
"CRSCR050C010","1","5555",,
"CRSCR050C020","1","-320",,
"CRSCR050C030","1","-330",,
"CRSCR050C040","1","340",,
"CRSCR050C050","1","350",,
"CRSCR050C060","1","-360",,
"CRSCR050C070","1","-10",,
"CRSCR050C080","1","-380",,
"CRSCR050C090","1","-390",,
"CRSCR050C100","1","-770",,
"CRSCR050C110","1","400",,
"CRSCR060C010","1","6666",,
"CRSCR060C020","1","-999",,
"CRSCR060C030","1","-888",,
"CRSCR060C040","1","440",,
"CRSCR060C050","1","450",,
"CRSCR060C060","1","-460",,
"CRSCR060C070","1","-10",,
"CRSCR060C080","1","-480",,
"CRSCR060C090","1","-490",,
"CRSCR060C100","1","-970",,
"CRSCR060C110","1","500",,
"CRSCR070C010","1","4043",,
"CRSCR070C020","1","-1461",,
"CRSCR070C030","1","-1360",,
"CRSCR070C040","1","1380",,
"CRSCR070C050","1","1400",,
"CRSCR070C060","1","-1420",,
"CRSCR070C070","1","-20",,
"CRSCR070C080","1","-1460",,
"CRSCR070C090","1","-1480",,
"CRSCR070C100","1","-2940",,
