"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"CRSIR010C010","1","64887",,
"CRSIR010C020","1","-2944860",,
"CRSIR010C030","1","-236967",,
"CRSIR010C040","1","193600",,
"CRSIR010C050","1","646374",,
"CRSIR010C060","1","-4318200",,
"CRSIR010C070","1","-4330500",,
"CRSIR010C080","1","-8648700",,
"CRSIR010C090","1","4263600",,
"CRSIR010C100","1","-3738726",,
"CRSIR010C110","1","-5925456",,
"CRSIR020C010","1","300",,
"CRSIR020C020","1","-600",,
"CRSIR020C030","1","-900",,
"CRSIR020C040","1","1200",,
"CRSIR020C050","1","1251131",,
"CRSIR020C060","1","-1800",,
"CRSIR020C070","1","-2100",,
"CRSIR020C080","1","-3900",,
"CRSIR020C090","1","2700",,
"CRSIR020C100","1","1249931",,
"CRSIR020C110","1","-3300",,
"CRSIR030C010","1","64887",,
"CRSIR030C020","1","-2944860",,
"CRSIR030C030","1","-236967",,
"CRSIR030C040","1","193600",,
"CRSIR030C050","1","-2923340",,
"CRSIR030C060","1","-322200",,
"CRSIR030C070","1","-328500",,
"CRSIR030C080","1","-650700",,
"CRSIR030C090","1","249600",,
"CRSIR030C100","1","-3324440",,
"CRSIR030C110","1","-2819355",,
"CRSIR040C010","1","-48389",,
"CRSIR040C020","1","-136800",,
"CRSIR040C030","1","-58947",,
"CRSIR040C040","1","22600",,
"CRSIR040C050","1","-221536",,
"CRSIR040C060","1","-104700",,
"CRSIR040C070","1","-109200",,
"CRSIR040C080","1","-213900",,
"CRSIR040C090","1","26700",,
"CRSIR040C100","1","-408736",,
"CRSIR040C110","1","-192246",,
"CRSIR050C010","1","-21600",,
"CRSIR050C020","1","-24900",,
"CRSIR050C030","1","-28200",,
"CRSIR050C040","1","-31500",,
"CRSIR050C050","1","-106200",,
"CRSIR050C060","1","-38100",,
"CRSIR050C070","1","-41400",,
"CRSIR050C080","1","-79500",,
"CRSIR050C090","1","-43500",,
"CRSIR050C100","1","-229200",,
"CRSIR050C110","1","-50100",,
"CRSIR060C010","1","-53400",,
"CRSIR060C020","1","-56700",,
"CRSIR060C030","1","-4473",,
"CRSIR060C040","1","1000",,
"CRSIR060C050","1","-113573",,
"CRSIR060C060","1","-11700",,
"CRSIR060C070","1","-12000",,
"CRSIR060C080","1","-23700",,
"CRSIR060C090","1","12600",,
"CRSIR060C100","1","-124673",,
"CRSIR060C110","1","-4020",,
"CRSIR070C010","1","2000",,
"CRSIR070C020","1","-13800",,
"CRSIR070C030","1","-12945",,
