"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"CVAR010C010","1","2950",,
"CVAR010C020","1","720",,
"CVAR010C030","1","1800",,
"CVAR020C010","1","1000",,
"CVAR020C020","1","200",,
"CVAR020C030","1","500",,
"CVAR020C040","1","800",,
"CVAR020C050","1","900",,
"CVAR020C060","1","1000",,
"CVAR020C070","1","2000",,
"CVAR030C010","1","850",,
"CVAR030C020","1","220",,
"CVAR030C030","1","600",,
"CVAR040C010","1","1100",,
"CVAR040C020","1","300",,
"CVAR040C030","1","700",,
"CVAR010C080","1","5400",,
"CVAR010C090","1","67500",,
"CVAR010C100","1","180",,
"CVAR010C110","1","33",,
"CVAR010C120","1","120",,
"CVAR010C130","1","270",,
"CVAR010C140","1","330",,
"CVAR020C080","1","2900",,
"CVAR020C090","1","36250",,
"CVAR020C100","1","50",,
"CVAR020C110","1","10",,
"CVAR020C130","1","130",,
"CVAR020C140","1","160",,
"CVAR030C080","1","1200",,
"CVAR030C090","1","15000",,
"CVAR030C100","1","60",,
"CVAR030C110","1","11",,
"CVAR030C130","1","140",,
"CVAR030C140","1","170",,
"CVAR040C080","1","1300",,
"CVAR040C090","1","16250",,
"CVAR040C100","1","70",,
"CVAR040C110","1","12",,
