"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"LRCAR010C010","1","1000",,
"LRCAR010C020","1","1100",,
"LRCAR010C030","1","1200",,
"LRCAR020C010","1","1300",,
"LRCAR020C020","1","1400",,
"LRCAR020C030","1","1500",,
"LRCAR030C010","1","66666666666",,
"LRCAR030C020","1","1700",,
"LRCAR030C030","1","1800",,
"LRCAR040C010","1","1900",,
"LRCAR040C020","1","2000",,
"LRCAR040C030","1","10200",,
"LRCAR050C010","1","8888888888888",,
"LRCAR050C020","1","2300",,
"LRCAR050C030","1","2000",,
"LRCAR060C010","1","2500",,
"LRCAR060C020","1","2600",,
"LRCAR060C030","1","2700",,
"LRCAR070C010","1","2800",,
"LRCAR070C020","1","2900",,
"LRCAR070C030","1","3000",,
"LRCAR080C010","1","3100",,
"LRCAR080C020","1","3200",,
"LRCAR080C030","1","3300",,
"LRCAR090C010","1","3400",,
"LRCAR090C020","1","3500",,
"LRCAR090C030","1","3600",,
"LRCAR100C010","1","3700",,
"LRCAR100C020","1","3800",,
"LRCAR100C030","1","213400",,
"LRCAR110C010","1","88888888888888",,
"LRCAR110C020","1","4100",,
"LRCAR110C030","1","13451.3103706609",,
"LRCAR120C010","1","4300",,
"LRCAR120C020","1","4400",,
"LRCAR120C030","1","41692.6103706609",,
"LRCAR130C010","1","4600",,
"LRCAR130C020","1","4700",,
"LRCAR130C030","1","0",,
"LRCAR130C030CA","1","168",,
"LRCAR140C010","1","4900",,
"LRCAR140C020","1","5000",,
"LRCAR140C030","1","0",,
"LRCAR140C030CA","1","168",,
"LRCAR150C010","1","5200",,
"LRCAR150C020","1","5300",,
"LRCAR150C030","1","12185.8603706609",,
"LRCAR160C010","1","5500",,
"LRCAR160C020","1","5600",,
"LRCAR160C030","1","0.8655685014",,
"LRCAR170C010","1","7777777777777",,
"LRCAR170C020","1","5900",,
"LRCAR170C030","1","39805.4103706609",,
"LRCAR180C010","1","992.5558286057",,
"LRCAR180C020","1","14.1868512111",,
"LRCAR180C030","1","5.277403788",,
"LRCAR180C040","1","5.277403788",,
"LRCAR190C010","1","2.57E-8",,
"LRCAR190C020","1","14.7651006711",,
"LRCAR190C030","1","14.7582087219",,
"LRCAR190C040","1","14.7582087219",,
"LR01R010C010","1","7200",,
"LR01R010C020","1","98896666666664",,
"LR01R010C030","1","1200",,
"LR01R010C050","1","10200",,
"LR01R020C010","1","1600",,
"LR01R020C020","1","7777777777",,
"LR01R020C050","1","4200",,
"LR01R030C050","1","2000",,
"LR01R040C050","1","2200",,
"LR01R050C010","1","2400",,
"LR01R050C020","1","9999999999999",,
"LR01R050C050","1","2600",,
"LR01R060C010","1","3200",,
"LR01R060C020","1","88888888888888",,
"LR01R060C050","1","3400",,
"LR01R070C010","1","3600",,
"LR01R070C020","1","777777777777777",,
"LR01R070C040","1","3800",,
"LR01R080C010","1","3900",,
"LR01R080C020","1","4000",,
"LR01R080C040","1","77777777777777777",,
"LR01R090C010","1","4200",,
"LR01R090C020","1","4300",,
"LR01R200C020","1","5400",,
"LR01R210C020","1","5500",,
"LR01R220C020","1","5600",,
"LR01R230C020","1","666666666666666",,
"LR01R240C020","1","5800",,
"LR01R010C060","1","1400",,
"LR01R010C070","1","10600",,
"LR01R020C070","1","4400",,
"LR01R030C070","1","2100",,
"LR01R040C070","1","2300",,
"LR01R050C070","1","2700",,
"LR01R050C080","1","2800",,
"LR01R050C090","1","2900",,
"LR01R050C100","1","3000",,
"LR01R050C110","1","3100",,
"LR01R060C070","1","3500",,
"LR01R100C070","1","4400",,
"LR01R110C070","1","4500",,
"LR01R120C070","1","4600",,
"LR01R130C070","1","4700",,
"LR01R140C070","1","4800",,
"LR01R150C070","1","4900",,
"LR01R160C070","1","5000",,
"LR01R170C070","1","5100",,
"LR01R180C070","1","5200",,
"LR01R190C070","1","5300",,
"LR02R010C010","1","18000",,
"LR02R010C020","1","18900",,
"LR02R020C010","1","1200",,
"LR02R020C020","1","1300",,
"LR02R030C010","1","1400",,
"LR02R030C020","1","1500",,
"LR02R040C010","1","1600",,
"LR02R040C020","1","1700",,
"LR02R050C010","1","1800",,
"LR02R050C020","1","1900",,
"LR02R060C010","1","2000",,
"LR02R060C020","1","2100",,
"LR02R070C010","1","2200",,
"LR02R070C020","1","2300",,
"LR02R080C010","1","2400",,
"LR02R080C020","1","2500",,
"LR02R090C010","1","2600",,
"LR02R090C020","1","2700",,
"LR02R100C010","1","2800",,
"LR02R100C020","1","2900",,
"LR02R110C030","1","3000",,
"LR03R010C010","1","12870.3103706609",,
"LR03R020C010","1","27637.6103706609",,
"LR03R030C010","1","14325.3103706609",,
"LR03R040C010","1","1074824.9603706609",,
"LR03R050C010","1","11793.8603706609",,
"LR03R060C010","1","26446.6103706609",,
"LR03R070C010","1","12689.8603706609",,
"LR03R080C010","1","1072039.2103706609",,
"LR04R010C010","1","1000",,
"LR04R010C020","1","1100",,
"LR04R020C010","1","1200",,
"LR04R020C020","1","1300",,
"LR04R030C010","1","1400",,
"LR04R030C020","1","1500",,
"LR04R040C010","1","1600",,
"LR04R040C020","1","1700",,
"LR04R050C010","1","1800",,
"LR04R050C020","1","1900",,
"LR04R060C010","1","2000",,
"LR04R060C020","1","2100",,
"LR04R070C010","1","2200",,
"LR04R070C020","1","2300",,
"LR04R080C010","1","2400",,
"LR04R080C020","1","2500",,
"LR04R080C030","1","2600",,
"LR04R080C040","1","2700",,
"LR04R090C010","1","15200",,
"LR04R090C020","1","15600",,
"LR04R090C030","1","16000",,
"LR04R090C040","1","16400",,
"LR04R100C010","1","3200",,
"LR04R100C020","1","3300",,
"LR04R100C030","1","3400",,
"LR04R100C040","1","3500",,
"LR04R110C010","1","3600",,
"LR04R110C020","1","3700",,
"LR04R110C030","1","3800",,
"LR04R110C040","1","3900",,
"LR04R120C010","1","4000",,
"LR04R120C020","1","4100",,
"LR04R120C030","1","4200",,
"LR04R120C040","1","4300",,
"LR04R130C010","1","4400",,
"LR04R130C020","1","4500",,
"LR04R130C030","1","4600",,
"LR04R130C040","1","4700",,
"LR04R140C010","1","16800",,
"LR04R140C020","1","17100",,
"LR04R140C030","1","17400",,
"LR04R140C040","1","17700",,
"LR04R150C010","1","5200",,
"LR04R150C020","1","5300",,
"LR04R150C030","1","5400",,
"LR04R150C040","1","5500",,
"LR04R160C010","1","5600",,
"LR04R160C020","1","5700",,
"LR04R160C030","1","5800",,
"LR04R160C040","1","5900",,
"LR04R170C010","1","6000",,
"LR04R170C020","1","6100",,
"LR04R170C030","1","6200",,
"LR04R170C040","1","6300",,
"LR04R180C010","1","6400",,
"LR04R180C020","1","6500",,
"LR04R180C030","1","6600",,
"LR04R180C040","1","6700",,
"LR04R190C010","1","6800",,
"LR04R190C020","1","6900",,
"LR04R190C030","1","7000",,
"LR04R190C040","1","7100",,
"LR04R200C010","1","7200",,
"LR04R200C020","1","7300",,
"LR04R200C030","1","7400",,
"LR04R200C040","1","7500",,
"LR04R210C010","1","7600",,
"LR04R210C020","1","7700",,
"LR04R210C030","1","7800",,
"LR04R210C040","1","7900",,
"LR04R220C010","1","8000",,
"LR04R220C020","1","8100",,
"LR04R220C030","1","8200",,
"LR04R220C040","1","8300",,
"LR04R230C010","1","28400",,
"LR04R230C020","1","28700",,
"LR04R230C030","1","29000",,
"LR04R230C040","1","29300",,
"LR04R240C010","1","8800",,
"LR04R240C020","1","8900",,
"LR04R240C030","1","9000",,
"LR04R240C040","1","9100",,
"LR04R250C010","1","19600",,
"LR04R250C020","1","19800",,
"LR04R250C030","1","20000",,
"LR04R250C040","1","20200",,
"LR04R260C010","1","9600",,
"LR04R260C020","1","9700",,
"LR04R260C030","1","9800",,
"LR04R260C040","1","9900",,
"LR04R270C010","1","10000",,
"LR04R270C020","1","10100",,
"LR04R270C030","1","10200",,
"LR04R270C040","1","10300",,
"LR04R280C010","1","10400",,
"LR04R280C020","1","10500",,
"LR04R280C030","1","10600",,
"LR04R280C040","1","10700",,
"LR04R290C010","1","10800",,
"LR04R290C020","1","10900",,
"LR04R290C030","1","11000",,
"LR04R290C040","1","11100",,
"LR04R300C010","1","11200",,
"LR04R300C020","1","11300",,
"LR04R300C030","1","11400",,
"LR04R300C040","1","11500",,
"LR04R310C010","1","11600",,
"LR04R310C020","1","11700",,
"LR04R310C030","1","11800",,
"LR04R310C040","1","11900",,
"LR04R320C010","1","12000",,
"LR04R320C020","1","12100",,
"LR04R320C030","1","12200",,
"LR04R320C040","1","12300",,
"LR05R010C010","1","ABCDEf",,
"LR05R020C010","1","DDDDDD",,
"LR05R030C010","1","BASEL III",,
"LR05R040C010","1","123456",,
"LR05R050C010","1","Standard",,
"LR05R060C010","1","Level 1",,
"LR06R010C010","1","1000",,
"LR06R010C020","1","1100",,
"LR06R010C030","1","1200",,
"LR06R020C010","1","1300",,
"LR06R020C020","1","1400",,
"LR06R020C030","1","1500",,
"LR06R030C010","1","1600",,
"LR06R030C020","1","1700",,
"LR06R030C030","1","1800",,
"LR06R040C010","1","1900",,
"LR06R040C020","1","2000",,
"LR06R040C030","1","2100",,
"LR06R050C010","1","2200",,
"LR06R050C020","1","2300",,
"LR06R050C030","1","2400",,
"LR06R060C010","1","2500",,
"LR06R060C020","1","2600",,
"LR06R060C030","1","2700",,
"LR06R070C010","1","2800",,
"LR06R070C020","1","2900",,
"LR06R070C030","1","3000",,
"LR06R080C010","1","3100",,
"LR06R080C020","1","3200",,
"LR06R080C030","1","3300",,
"LR06R090C010","1","3400",,
"LR06R090C020","1","3500",,
"LR06R090C030","1","3600",,
"LR06R100C010","1","3700",,
"LR06R100C020","1","3800",,
"LR06R100C030","1","3900",,
"LR06R110C010","1","4000",,
"LR06R110C020","1","4100",,
"LR06R110C030","1","4200",,
"LR06R120C010","1","4300",,
"LR06R120C020","1","4400",,
"LR06R120C030","1","4500",,
"LR06R130C010","1","4600",,
"LR06R130C020","1","4700",,
"LR06R130C030","1","4800",,
"LR06R140C010","1","123",,
"LR06R140C020","1","123",,
"LR06R140C030","1","5100",,
"LR06R150C010","1","5200",,
"LR06R150C020","1","5300",,
"LR06R150C030","1","5400",,
"LR06R160C010","1","5500",,
"LR06R160C030","1","5600",,
"LR06R170C030","1","444",,
