"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"MKCMR010C010","1","36",,
"MKCMR010C020","1","26",,
"MKCMR010C030","1","7",,
"MKCMR010C040","1","7",,
"MKCMR010C050","1","14",,
"MKCMR010C060","1","12700",,
"MKCMR010C070","1","158750",,
"MKCMR020C010","1","1000",,
"MKCMR020C020","1","200",,
"MKCMR020C030","1","300",,
"MKCMR020C040","1","400",,
"MKCMR020C050","1","700",,
"MKCMR020C060","1","852",,
"MKCMR030C010","1","700",,
"MKCMR030C020","1","800",,
"MKCMR030C030","1","900",,
"MKCMR030C040","1","1000",,
"MKCMR030C050","1","1900",,
"MKCMR030C060","1","1200",,
"MKCMR040C010","1","1300",,
"MKCMR040C020","1","1400",,
"MKCMR040C030","1","1500",,
"MKCMR040C040","1","1600",,
"MKCMR040C050","1","3100",,
"MKCMR040C060","1","1800",,
"MKCMR050C010","1","2",,
"MKCMR050C020","1","2000",,
"MKCMR050C030","1","2100",,
"MKCMR050C040","1","2000",,
"MKCMR050C050","1","4100",,
"MKCMR050C060","1","2400",,
"MKCMR060C010","1","1",,
"MKCMR060C020","1","1",,
"MKCMR060C030","1","2700",,
"MKCMR060C040","1","2800",,
"MKCMR060C050","1","5500",,
"MKCMR060C060","1","3000",,
"MKCMR070C010","1","33",,
"MKCMR070C020","1","3",,
"MKCMR070C030","1","4",,
"MKCMR070C040","1","4",,
"MKCMR070C050","1","8",,
"MKCMR070C060","1","3600",,
"MKCMR080C010","1","1",,
"MKCMR080C020","1","1",,
"MKCMR080C030","1","1",,
"MKCMR080C040","1","1",,
"MKCMR080C050","1","2",,
"MKCMR080C060","1","4300",,
"MKCMR090C010","1","2",,
"MKCMR090C020","1","22",,
"MKCMR090C030","1","2",,
"MKCMR090C040","1","2",,
"MKCMR090C050","1","4",,
"MKCMR090C060","1","4800",,
"MKCMR100C060","1","472987",,
"MKCMR110C060","1","5500",,
"MKCMR120C060","1","5200",,
"MKCMR130C060","1","5300",,
"MKCMR140C060","1","456987",,
