"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"MKEQMARKET","FI","Finland",,
"MKEQR010C060","FI","12748",,
"MKEQR010C070","FI","159350",,
"MKEQR020C010","FI","1000",,
"MKEQR020C020","FI","1110",,
"MKEQR020C030","FI","0",,
"MKEQR020C040","FI","0",,
"MKEQR020C050","FI","0",,
"MKEQR020C060","FI","0",,
"MKEQR021C010","FI","500",,
"MKEQR021C020","FI","600",,
"MKEQR022C010","FI","500",,
"MKEQR022C020","FI","510",,
"MKEQR030C010","FI","900",,
"MKEQR030C020","FI","1000",,
"MKEQR030C030","FI","1100",,
"MKEQR030C040","FI","1200",,
"MKEQR040C010","FI","100",,
"MKEQR040C020","FI","110",,
"MKEQR040C030","FI","-1100",,
"MKEQR040C040","FI","-1200",,
"MKEQR050C010","FI","100",,
"MKEQR050C020","FI","110",,
"MKEQR050C030","FI","-1100",,
"MKEQR050C040","FI","-1200",,
"MKEQR050C050","FI","-2300",,
"MKEQR050C060","FI","-184",,
"MKEQR080C010","FI","2300",,
"MKEQR080C020","FI","2400",,
"MKEQR080C030","FI","2500",,
"MKEQR080C040","FI","2600",,
"MKEQR080C050","FI","5100",,
"MKEQR080C060","FI","1632",,
"MKEQR090C010","FI","2900",,
"MKEQR090C020","FI","3000",,
"MKEQR090C030","FI","3100",,
"MKEQR090C040","FI","3200",,
"MKEQR090C050","FI","6300",,
"MKEQR090C060","FI","11300",,
"MKEQR100C060","FI","3000",,
"MKEQR110C060","FI","3100",,
"MKEQR120C060","FI","3200",,
"MKEQR130C060","FI","2000",,
"MKEQMARKET","TOTAL","Total",,
"MKEQR010C060","TOTAL","17957.88",,
"MKEQR010C070","TOTAL","224473.5",,
"MKEQR020C010","TOTAL","1000",,
"MKEQR020C020","TOTAL","6660",,
"MKEQR020C030","TOTAL","0",,
"MKEQR020C040","TOTAL","0",,
"MKEQR020C050","TOTAL","0",,
"MKEQR020C060","TOTAL","0",,
"MKEQR021C010","TOTAL","1502",,
"MKEQR021C020","TOTAL","1802",,
"MKEQR022C010","TOTAL","-502",,
"MKEQR022C020","TOTAL","4858",,
"MKEQR030C010","TOTAL","2700",,
"MKEQR030C020","TOTAL","2100",,
"MKEQR030C030","TOTAL","2312",,
"MKEQR030C040","TOTAL","2332",,
"MKEQR040C010","TOTAL","-1700",,
"MKEQR040C020","TOTAL","4560",,
"MKEQR040C030","TOTAL","-2312",,
"MKEQR040C040","TOTAL","-2332",,
"MKEQR050C010","TOTAL","-1700",,
"MKEQR050C020","TOTAL","4560",,
"MKEQR050C030","TOTAL","-2312",,
"MKEQR050C040","TOTAL","-2332",,
"MKEQR050C050","TOTAL","-4644",,
"MKEQR050C060","TOTAL","-371.52",,
"MKEQR080C010","TOTAL","2760",,
"MKEQR080C020","TOTAL","2880",,
"MKEQR080C030","TOTAL","3000",,
"MKEQR080C040","TOTAL","3120",,
"MKEQR080C050","TOTAL","6120",,
"MKEQR080C060","TOTAL","1958.4",,
"MKEQR090C010","TOTAL","38700",,
"MKEQR090C020","TOTAL","39000",,
"MKEQR090C030","TOTAL","789",,
"MKEQR090C040","TOTAL","39600",,
"MKEQR090C050","TOTAL","40389",,
"MKEQR090C060","TOTAL","16371",,
"MKEQR100C060","TOTAL","6030",,
"MKEQR110C060","TOTAL","6231",,
"MKEQR120C060","TOTAL","777",,
"MKEQR130C060","TOTAL","3333",,
"MKEQMARKET","US","USA",,
"MKEQR010C060","US","6094.08",,
"MKEQR010C070","US","76176",,
"MKEQR020C010","US","900",,
"MKEQR020C020","US","3330",,
"MKEQR020C030","US","0",,
"MKEQR020C040","US","0",,
"MKEQR020C050","US","0",,
"MKEQR020C060","US","0",,
"MKEQR021C010","US","502",,
"MKEQR021C020","US","602",,
"MKEQR022C010","US","398",,
"MKEQR022C020","US","2728",,
"MKEQR030C010","US","900",,
"MKEQR030C020","US","1000",,
"MKEQR030C030","US","1102",,
