"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"MKFXR010C020","1","869234",,
"MKFXR010C030","1","2500",,
"MKFXR010C040","1","2800",,
"MKFXR010C050","1","3100",,
"MKFXR010C060","1","2800",,
"MKFXR010C070","1","3200",,
"MKFXR010C080","1","500",,
"MKFXR010C090","1","5456",,
"MKFXR010C100","1","68200",,
"MKFXR020C020","1","1000",,
"MKFXR020C030","1","200",,
"MKFXR020C040","1","300",,
"MKFXR020C050","1","400",,
"MKFXR020C080","1","500",,
"MKFXR020C090","1","600",,
"MKFXR030C020","1","78778",,
"MKFXR030C030","1","800",,
"MKFXR030C040","1","900",,
"MKFXR030C050","1","1000",,
"MKFXR030C060","1","1000",,
"MKFXR030C070","1","1200",,
"MKFXR030C090","1","96",,
"MKFXR040C020","1","789456",,
"MKFXR040C030","1","1500",,
"MKFXR040C040","1","1600",,
"MKFXR040C050","1","1700",,
"MKFXR040C060","1","1800",,
"MKFXR040C070","1","2000",,
"MKFXR040C090","1","160",,
"MKFXR050C090","1","4600",,
"MKFXR060C090","1","1000",,
"MKFXR070C090","1","1100",,
"MKFXR080C090","1","1200",,
"MKFXR090C090","1","1300",,
"MKFXR100C020","1","3000",,
"MKFXR100C030","1","333",,
"MKFXR110C020","1","3800",,
"MKFXR110C030","1","3900",,
"MKFXR120C020","1","5896",,
"MKFXR120C030","1","111222",,
"MKFXR130C020","1","13009",,
"MKFXR130C030","1","9628",,
"MKFXR130C040","1","16624",,
"MKFXR130C050","1","13423",,
"MKFXR140C020","1","16198",,
"MKFXR140C030","1","4126",,
"MKFXR140C040","1","15035",,
"MKFXR140C050","1","11595",,
"MKFXR150C020","1","19811",,
"MKFXR150C030","1","11606",,
"MKFXR150C040","1","23466",,
"MKFXR150C050","1","4547",,
"MKFXR160C020","1","6385",,
"MKFXR160C030","1","18870",,
"MKFXR160C040","1","9444",,
"MKFXR160C050","1","24762",,
"MKFXR170C020","1","19115",,
"MKFXR170C030","1","23674",,
"MKFXR170C040","1","19425",,
"MKFXR170C050","1","19242",,
"MKFXR180C020","1","24207",,
"MKFXR180C030","1","12367",,
"MKFXR180C040","1","16418",,
"MKFXR180C050","1","24210",,
"MKFXR190C020","1","4356",,
"MKFXR190C030","1","14131",,
"MKFXR190C040","1","16448",,
"MKFXR190C050","1","23816",,
"MKFXR200C020","1","9988",,
"MKFXR200C030","1","3619",,
"MKFXR200C040","1","18986",,
"MKFXR200C050","1","16378",,
"MKFXR210C020","1","8599",,
"MKFXR210C030","1","6620",,
"MKFXR210C040","1","13266",,
"MKFXR210C050","1","16597",,
"MKFXR220C020","1","13838",,
"MKFXR220C030","1","10231",,
"MKFXR220C040","1","22942",,
"MKFXR220C050","1","6415",,
"MKFXR230C020","1","24392",,
"MKFXR230C030","1","6588",,
"MKFXR230C040","1","16512",,
"MKFXR230C050","1","17436",,
"MKFXR240C020","1","3344",,
"MKFXR240C030","1","21488",,
"MKFXR240C040","1","12481",,
"MKFXR240C050","1","14296",,
"MKFXR250C020","1","5659",,
"MKFXR250C030","1","3666",,
"MKFXR250C040","1","14104",,
"MKFXR250C050","1","8755",,
"MKFXR260C020","1","15294",,
"MKFXR260C030","1","2233",,
"MKFXR260C040","1","14968",,
"MKFXR260C050","1","3495",,
"MKFXR270C020","1","5148",,
"MKFXR270C030","1","12102",,
"MKFXR270C040","1","21448",,
"MKFXR270C050","1","22932",,
"MKFXR280C020","1","10701",,
"MKFXR280C030","1","11262",,
"MKFXR280C040","1","5107",,
"MKFXR280C050","1","6270",,
"MKFXR290C020","1","5206",,
"MKFXR290C030","1","23936",,
"MKFXR290C040","1","10424",,
"MKFXR290C050","1","8938",,
"MKFXR300C020","1","5282",,
"MKFXR300C030","1","8670",,
"MKFXR300C040","1","3784",,
"MKFXR300C050","1","9594",,
"MKFXR310C020","1","9263",,
"MKFXR310C030","1","7886",,
"MKFXR310C040","1","22683",,
"MKFXR310C050","1","11529",,
"MKFXR320C020","1","8031",,
"MKFXR320C030","1","334455",,
"MKFXR320C040","1","15057",,
"MKFXR320C050","1","4021",,
"MKFXR330C020","1","15261",,
"MKFXR330C030","1","9032",,
"MKFXR330C040","1","21609",,
"MKFXR330C050","1","21042",,
"MKFXR340C020","1","20615",,
"MKFXR340C030","1","8999",,
"MKFXR340C040","1","17517",,
"MKFXR340C050","1","11090",,
"MKFXR350C020","1","23321",,
"MKFXR350C030","1","18349",,
"MKFXR350C040","1","4600",,
"MKFXR350C050","1","4458",,
"MKFXR360C020","1","21116",,
"MKFXR360C030","1","7745",,
"MKFXR360C040","1","4050",,
"MKFXR360C050","1","22333",,
"MKFXR370C020","1","22075",,
"MKFXR370C030","1","10797",,
"MKFXR370C040","1","17668",,
"MKFXR370C050","1","11300",,
"MKFXR380C020","1","7352",,
"MKFXR380C030","1","19198",,
"MKFXR380C040","1","4679",,
"MKFXR380C050","1","7084",,
"MKFXR390C020","1","7352",,
"MKFXR390C030","1","7745",,
"MKFXR390C040","1","4050",,
"MKFXR390C050","1","22333",,
"MKFXR400C020","1","7352",,
"MKFXR400C030","1","10797",,
"MKFXR400C040","1","17668",,
"MKFXR400C050","1","11300",,
"MKFXR410C020","1","7352",,
"MKFXR410C030","1","19198",,
"MKFXR410C040","1","4679",,
"MKFXR410C050","1","7084",,
"MKFXR420C020","1","123",,
