"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"MKIRCURRENCY","TOTAL","Total123",,
"MKIRR010C060","TOTAL","308100",,
"MKIRR010C070","TOTAL","3851250",,
"MKIRR011C060","TOTAL","19400",,
"MKIRR012C010","TOTAL","1000",,
"MKIRR012C020","TOTAL","2700",,
"MKIRR013C010","TOTAL","730000000000060300",,
"MKIRR013C020","TOTAL","67100",,
"MKIRR020C010","TOTAL","730000000000014200",,
"MKIRR020C020","TOTAL","22100",,
"MKIRR020C030","TOTAL","121023000000890101100",,
"MKIRR020C040","TOTAL","144200",,
"MKIRR020C050","TOTAL","121023000000890245300",,
"MKIRR020C060","TOTAL","4700",,
"MKIRR030C010","TOTAL","4900",,
"MKIRR030C020","TOTAL","5100",,
"MKIRR030C030","TOTAL","25200",,
"MKIRR030C040","TOTAL","22100",,
"MKIRR040C030","TOTAL","5700",,
"MKIRR040C040","TOTAL","2000",,
"MKIRR050C030","TOTAL","6100",,
"MKIRR050C040","TOTAL","6300",,
"MKIRR060C030","TOTAL","6500",,
"MKIRR060C040","TOTAL","6700",,
"MKIRR070C030","TOTAL","6900",,
"MKIRR070C040","TOTAL","7100",,
"MKIRR080C010","TOTAL","730000000000000000",,
"MKIRR080C020","TOTAL","7500",,
"MKIRR080C030","TOTAL","890016600",,
"MKIRR080C040","TOTAL","26100",,
"MKIRR090C030","TOTAL","8100",,
"MKIRR090C040","TOTAL","8300",,
"MKIRR100C030","TOTAL","8500",,
"MKIRR100C040","TOTAL","8700",,
"MKIRR110C030","TOTAL","890000000",,
"MKIRR110C040","TOTAL","9100",,
"MKIRR120C010","TOTAL","9300",,
"MKIRR120C020","TOTAL","9500",,
"MKIRR120C030","TOTAL","121023000000000059300",,
"MKIRR120C040","TOTAL","96000",,
"MKIRR130C030","TOTAL","10100",,
"MKIRR130C040","TOTAL","10300",,
"MKIRR140C030","TOTAL","10500000000000000",,
"MKIRR140C040","TOTAL","10700",,
"MKIRR150C030","TOTAL","11300",,
"MKIRR150C040","TOTAL","11500",,
"MKIRR160C030","TOTAL","11700",,
"MKIRR160C040","TOTAL","11900",,
"MKIRR170C030","TOTAL","121000000000000000000",,
"MKIRR170C040","TOTAL","12300",,
"MKIRR180C030","TOTAL","12500000000000000",,
"MKIRR180C040","TOTAL","12700",,
"MKIRR190C030","TOTAL","12900",,
"MKIRR190C040","TOTAL","13100",,
"MKIRR200C030","TOTAL","13300",,
"MKIRR200C040","TOTAL","13500",,
"MKIRR210C010","TOTAL","47100",,
"MKIRR210C020","TOTAL","47700",,
"MKIRR210C030","TOTAL","48300",,
"MKIRR210C040","TOTAL","48900",,
"MKIRR210C050","TOTAL","97200",,
"MKIRR210C060","TOTAL","14700",,
"MKIRR220C010","TOTAL","14900",,
"MKIRR220C020","TOTAL","15100",,
"MKIRR220C030","TOTAL","15300",,
"MKIRR220C040","TOTAL","15500",,
"MKIRR230C010","TOTAL","15700",,
"MKIRR230C020","TOTAL","15900",,
"MKIRR230C030","TOTAL","16100",,
"MKIRR230C040","TOTAL","16300",,
"MKIRR240C010","TOTAL","16500",,
"MKIRR240C020","TOTAL","16700",,
"MKIRR240C030","TOTAL","16900",,
"MKIRR240C040","TOTAL","17100",,
"MKIRR250C010","TOTAL","139316",,
"MKIRR250C020","TOTAL","144590",,
"MKIRR250C030","TOTAL","141222",,
"MKIRR250C040","TOTAL","151485",,
"MKIRR250C050","TOTAL","273397",,
"MKIRR250C060","TOTAL","177860",,
"MKIRR251C060","TOTAL","86460",,
"MKIRR260C010","TOTAL","18300",,
"MKIRR260C020","TOTAL","18500",,
