"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"MKSER010C010","1","13500",,
"MKSER010C020","1","13200",,
"MKSER010C030","1","-14400",,
"MKSER010C040","1","-22799",,
"MKSER010C050","1","15600",,
"MKSER010C060","1","15800",,
"MKSER020C010","1","7500",,
"MKSER020C020","1","7800",,
"MKSER020C030","1","-8100",,
"MKSER020C040","1","-8400",,
"MKSER020C050","1","8700",,
"MKSER020C060","1","9000",,
"MKSER030C010","1","2300",,
"MKSER030C020","1","1600",,
"MKSER030C030","1","-2400",,
"MKSER030C040","1","-2600",,
"MKSER030C050","1","2800",,
"MKSER030C060","1","3000",,
"MKSER040C010","1","1000",,
"MKSER040C020","1","200",,
"MKSER040C030","1","-900",,
"MKSER040C040","1","-1000",,
"MKSER040C050","1","1100",,
"MKSER040C060","1","1200",,
"MKSER050C010","1","1300",,
"MKSER050C020","1","1400",,
"MKSER050C030","1","-1500",,
"MKSER050C040","1","-1600",,
"MKSER050C050","1","1700",,
"MKSER050C060","1","1800",,
"MKSER060C010","1","4400",,
"MKSER060C020","1","4600",,
"MKSER060C030","1","-4800",,
"MKSER060C040","1","-12799",,
"MKSER060C050","1","5200",,
"MKSER060C060","1","5000",,
"MKSER070C010","1","1900",,
"MKSER070C020","1","2000",,
"MKSER070C030","1","-2100",,
"MKSER070C040","1","-9999",,
"MKSER070C050","1","2300",,
"MKSER070C060","1","2000",,
"MKSER080C010","1","2500",,
"MKSER080C020","1","2600",,
"MKSER080C030","1","-2700",,
"MKSER080C040","1","-2800",,
"MKSER080C050","1","2900",,
"MKSER080C060","1","3000",,
"MKSER090C010","1","6800",,
"MKSER090C020","1","7000",,
"MKSER090C030","1","-7200",,
"MKSER090C040","1","-7400",,
"MKSER090C050","1","7600",,
"MKSER090C060","1","7800",,
"MKSER100C010","1","3100",,
"MKSER100C020","1","3200",,
"MKSER100C030","1","-3300",,
"MKSER100C040","1","-3400",,
"MKSER100C050","1","3500",,
"MKSER100C060","1","3600",,
"MKSER110C010","1","3700",,
"MKSER110C020","1","3800",,
"MKSER110C030","1","-3900",,
"MKSER110C040","1","-4000",,
"MKSER110C050","1","4100",,
"MKSER110C060","1","4200",,
"MKSER010C070","1","21300",,
"MKSER010C080","1","21600",,
"MKSER010C090","1","45600",,
"MKSER010C100","1","46200",,
"MKSER010C110","1","46800",,
"MKSER010C120","1","24600",,
"MKSER010C130","1","24900",,
"MKSER010C140","1","25200",,
"MKSER010C150","1","22800",,
"MKSER010C160","1","25500",,
"MKSER010C170","1","48900",,
"MKSER010C180","1","23400",,
"MKSER020C090","1","23700",,
"MKSER020C100","1","24000",,
"MKSER020C110","1","24300",,
"MKSER020C120","1","24600",,
"MKSER020C130","1","24900",,
"MKSER020C140","1","25200",,
"MKSER020C160","1","25500",,
"MKSER020C170","1","25800",,
"MKSER030C070","1","5500",,
"MKSER030C080","1","5600",,
"MKSER030C090","1","12000",,
"MKSER030C100","1","12200",,
"MKSER030C110","1","12400",,
"MKSER030C120","1","6600",,
"MKSER030C130","1","6700",,
"MKSER030C140","1","6800",,
"MKSER030C150","1","6000",,
"MKSER030C160","1","6900",,
"MKSER030C170","1","13100",,
"MKSER030C180","1","6200",,
"MKSER040C070","1","5500",,
"MKSER040C080","1","5600",,
"MKSER040C090","1","5700",,
"MKSER040C100","1","5800",,
"MKSER040C110","1","5900",,
"MKSER040C150","1","6000",,
"MKSER040C170","1","6100",,
"MKSER040C180","1","6200",,
"MKSER050C090","1","6300",,
"MKSER050C100","1","6400",,
"MKSER050C110","1","6500",,
"MKSER050C120","1","6600",,
"MKSER050C130","1","6700",,
"MKSER050C140","1","6800",,
"MKSER050C160","1","6900",,
"MKSER050C170","1","7000",,
"MKSER060C070","1","7100",,
"MKSER060C080","1","7200",,
"MKSER060C090","1","15200",,
"MKSER060C100","1","15400",,
"MKSER060C110","1","15600",,
"MKSER060C120","1","8200",,
"MKSER060C130","1","8300",,
"MKSER060C140","1","8400",,
"MKSER060C150","1","7600",,
"MKSER060C160","1","8500",,
"MKSER060C170","1","16300",,
"MKSER060C180","1","7800",,
"MKSER070C070","1","7100",,
"MKSER070C080","1","7200",,
"MKSER070C090","1","7300",,
"MKSER070C100","1","7400",,
"MKSER070C110","1","7500",,
"MKSER070C150","1","7600",,
"MKSER070C170","1","7700",,
"MKSER070C180","1","7800",,
"MKSER080C090","1","7900",,
"MKSER080C100","1","8000",,
"MKSER080C110","1","8100",,
"MKSER080C120","1","8200",,
"MKSER080C130","1","8300",,
"MKSER080C140","1","8400",,
"MKSER080C160","1","8500",,
"MKSER080C170","1","8600",,
"MKSER090C070","1","8700",,
"MKSER090C080","1","8800",,
"MKSER090C090","1","18400",,
"MKSER090C100","1","18600",,
"MKSER090C110","1","18800",,
"MKSER090C120","1","9800",,
"MKSER090C130","1","9900",,
"MKSER090C140","1","10000",,
"MKSER090C150","1","9200",,
"MKSER090C160","1","10100",,
"MKSER090C170","1","19500",,
"MKSER090C180","1","9400",,
"MKSER100C070","1","8700",,
"MKSER100C080","1","8800",,
"MKSER100C090","1","8900",,
"MKSER100C100","1","9000",,
"MKSER100C110","1","9100",,
"MKSER100C150","1","9200",,
"MKSER100C170","1","9300",,
"MKSER100C180","1","9400",,
"MKSER110C090","1","9500",,
"MKSER110C100","1","9600",,
"MKSER110C110","1","9700",,
"MKSER110C120","1","9800",,
"MKSER110C130","1","9900",,
"MKSER110C140","1","10000",,
"MKSER110C160","1","10100",,
"MKSER110C170","1","10200",,
"MKSER010C190","1","42300",,
"MKSER010C200","1","93900",,
"MKSER010C210","1","42900",,
"MKSER010C220","1","43200",,
"MKSER010C230","1","83700",,
"MKSER010C240","1","84300",,
"MKSER010C250","1","84900",,
"MKSER010C260","1","0",,
"MKSER010C270","1","86100",,
"MKSER010C280","1","86700",,
"MKSER010C290","1","0",,
"MKSER020C190","1","42300",,
"MKSER020C200","1","42600",,
"MKSER020C210","1","42900",,
"MKSER020C220","1","43200",,
"MKSER020C230","1","43500",,
"MKSER020C240","1","43800",,
"MKSER020C250","1","44100",,
"MKSER020C260","1","0",,
"MKSER020C270","1","44700",,
"MKSER020C280","1","45000",,
"MKSER020C290","1","0",,
"MKSER030C190","1","12200",,
"MKSER030C200","1","35100",,
"MKSER030C210","1","12400",,
"MKSER030C220","1","12500",,
"MKSER030C230","1","24100",,
"MKSER030C240","1","24300",,
"MKSER030C250","1","24500",,
"MKSER030C260","1","0",,
"MKSER030C270","1","24900",,
"MKSER030C280","1","25100",,
"MKSER030C290","1","0",,
"MKSER040C200","1","22800",,
"MKSER040C230","1","11500",,
"MKSER040C240","1","11600",,
"MKSER040C250","1","11700",,
"MKSER040C260","1","0",,
"MKSER040C270","1","11900",,
"MKSER040C280","1","12000",,
"MKSER040C290","1","0",,
"MKSER050C190","1","12200",,
"MKSER050C200","1","12300",,
"MKSER050C210","1","12400",,
"MKSER050C220","1","12500",,
"MKSER050C230","1","12600",,
"MKSER050C240","1","12700",,
"MKSER050C250","1","12800",,
"MKSER050C260","1","0",,
"MKSER050C270","1","13000",,
"MKSER050C280","1","13100",,
"MKSER050C290","1","0",,
"MKSER060C190","1","14100",,
"MKSER060C200","1","27500",,
"MKSER060C210","1","14300",,
"MKSER060C220","1","14400",,
"MKSER060C230","1","27900",,
"MKSER060C240","1","28100",,
"MKSER060C250","1","28300",,
"MKSER060C260","1","0",,
"MKSER060C270","1","28700",,
"MKSER060C280","1","28900",,
"MKSER060C290","1","0",,
