"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"OPRDR010C010","1","999999999999999",,
"OPRDR010C020","1","6",,
"OPRDR010C030","1","300000",,
"OPRDR010C040","1","400000",,
"OPRDR010C050","1","500000",,
"OPRDR010C060","1","600000",,
"OPRDR010C070","1","700000",,
"OPRDR010C080","1","1000000002500005",,
"OPRDR020C010","1","1000",,
"OPRDR020C020","1","900",,
"OPRDR020C030","1","1000",,
"OPRDR020C040","1","1100",,
"OPRDR020C050","1","1200",,
"OPRDR020C060","1","1300",,
"OPRDR020C070","1","1400",,
"OPRDR020C080","1","7900",,
"OPRDR020C090","1","1500",,
"OPRDR020C100","1","1600",,
"OPRDR030C010","1","2000",,
"OPRDR030C020","1","1800",,
"OPRDR030C030","1","1900",,
"OPRDR030C040","1","2000",,
"OPRDR030C050","1","2100",,
"OPRDR030C060","1","2200",,
"OPRDR030C070","1","2300",,
"OPRDR030C080","1","2300",,
"OPRDR040C010","1","2400",,
"OPRDR040C020","1","2500",,
"OPRDR040C030","1","2600",,
"OPRDR040C040","1","2700",,
"OPRDR040C050","1","2800",,
"OPRDR040C060","1","2900",,
"OPRDR040C070","1","3000",,
"OPRDR040C080","1","3000",,
"OPRDR110C010","1","3100000",,
"OPRDR110C020","1","3200000",,
"OPRDR110C030","1","3300000",,
"OPRDR110C040","1","3400000",,
"OPRDR110C050","1","3500000",,
"OPRDR110C060","1","3600000",,
"OPRDR110C070","1","3700000",,
"OPRDR110C080","1","23800000",,
"OPRDR120C010","1","3800",,
"OPRDR120C020","1","3900",,
"OPRDR120C030","1","4000",,
"OPRDR120C040","1","4100",,
"OPRDR120C050","1","4200",,
"OPRDR120C060","1","4300",,
"OPRDR120C070","1","4400",,
"OPRDR120C080","1","28700",,
"OPRDR120C090","1","8",,
"OPRDR120C100","1","4600",,
"OPRDR130C010","1","4700",,
"OPRDR130C020","1","4800",,
"OPRDR130C030","1","4900",,
"OPRDR130C040","1","5000",,
"OPRDR130C050","1","5100",,
"OPRDR130C060","1","5200",,
"OPRDR130C070","1","5300",,
"OPRDR130C080","1","5300",,
"OPRDR140C010","1","5400",,
"OPRDR140C020","1","777777777777777",,
"OPRDR140C030","1","5600",,
"OPRDR140C040","1","5700",,
"OPRDR140C050","1","5800",,
"OPRDR140C060","1","5900",,
"OPRDR140C070","1","6000",,
"OPRDR140C080","1","8000",,
"OPRDR210C010","1","6100000",,
"OPRDR210C020","1","6200000",,
"OPRDR210C030","1","6300000",,
"OPRDR210C040","1","6400000",,
"OPRDR210C050","1","6500000",,
"OPRDR210C060","1","6600000",,
"OPRDR210C070","1","6700000",,
"OPRDR210C080","1","44800000",,
"OPRDR220C010","1","6800",,
"OPRDR220C020","1","666666666666666600000",,
"OPRDR220C030","1","7000",,
"OPRDR220C040","1","7100",,
"OPRDR220C050","1","7200",,
"OPRDR220C060","1","7300",,
"OPRDR220C070","1","7400",,
"OPRDR220C080","1","666666666666666642800",,
"OPRDR220C090","1","7500",,
"OPRDR220C100","1","7600",,
"OPRDR230C010","1","7700",,
"OPRDR230C020","1","7800",,
"OPRDR230C030","1","7900",,
"OPRDR230C040","1","8000",,
"OPRDR230C050","1","8100",,
"OPRDR230C060","1","8200",,
"OPRDR230C070","1","8300",,
"OPRDR230C080","1","8300",,
"OPRDR240C010","1","8400",,
"OPRDR240C020","1","8500",,
"OPRDR240C030","1","8600",,
"OPRDR240C040","1","8700",,
"OPRDR240C050","1","8800",,
"OPRDR240C060","1","8900",,
"OPRDR240C070","1","9000",,
"OPRDR240C080","1","99000",,
"OPRDR310C010","1","9100000",,
"OPRDR310C020","1","9200000",,
"OPRDR310C030","1","9300000",,
"OPRDR310C040","1","9400000",,
"OPRDR310C050","1","9500000",,
"OPRDR310C060","1","9600000",,
"OPRDR310C070","1","9700000",,
"OPRDR310C080","1","65800000",,
"OPRDR320C010","1","9800",,
"OPRDR320C020","1","9900",,
"OPRDR320C030","1","10000",,
"OPRDR320C040","1","10100",,
"OPRDR320C050","1","10200",,
"OPRDR320C060","1","10300",,
"OPRDR320C070","1","10400",,
"OPRDR320C080","1","70700",,
"OPRDR320C090","1","10500",,
"OPRDR320C100","1","10600",,
"OPRDR330C010","1","10700",,
"OPRDR330C020","1","10800",,
"OPRDR330C030","1","10900",,
"OPRDR330C040","1","11000",,
"OPRDR330C050","1","11100",,
"OPRDR330C060","1","11200",,
"OPRDR330C070","1","11300",,
"OPRDR330C080","1","11300",,
"OPRDR340C010","1","11400",,
"OPRDR340C020","1","11500",,
"OPRDR340C030","1","11600",,
"OPRDR340C040","1","11700",,
"OPRDR340C050","1","11800",,
"OPRDR340C060","1","11900",,
"OPRDR340C070","1","12000",,
"OPRDR340C080","1","122000",,
"OPRDR410C010","1","12100000",,
"OPRDR410C020","1","12200000",,
"OPRDR410C030","1","12300000",,
"OPRDR410C040","1","12400000",,
"OPRDR410C050","1","12500000",,
"OPRDR410C060","1","12600000",,
"OPRDR410C070","1","12700000",,
"OPRDR410C080","1","86800000",,
"OPRDR420C010","1","12800",,
"OPRDR420C020","1","12900",,
"OPRDR420C030","1","13000",,
"OPRDR420C040","1","13100",,
"OPRDR420C050","1","13200",,
"OPRDR420C060","1","13300",,
"OPRDR420C070","1","13400",,
"OPRDR420C080","1","91700",,
"OPRDR420C090","1","3333",,
"OPRDR420C100","1","13600",,
"OPRDR430C010","1","13",,
"OPRDR430C020","1","13800",,
"OPRDR430C030","1","13900",,
"OPRDR430C040","1","14000",,
"OPRDR430C050","1","14100",,
"OPRDR430C060","1","14200",,
"OPRDR430C070","1","14300",,
"OPRDR430C080","1","14300",,
"OPRDR440C010","1","14400",,
"OPRDR440C020","1","14500",,
"OPRDR440C030","1","14600",,
"OPRDR440C040","1","14700",,
"OPRDR440C050","1","14800",,
"OPRDR440C060","1","14900",,
"OPRDR440C070","1","15000",,
"OPRDR440C080","1","255000",,
"OPRDR510C010","1","15100000",,
"OPRDR510C020","1","15200000",,
"OPRDR510C030","1","15300000",,
"OPRDR510C040","1","15400000",,
"OPRDR510C050","1","15500000",,
"OPRDR510C060","1","15600000",,
"OPRDR510C070","1","15700000",,
"OPRDR510C080","1","107800000",,
"OPRDR520C010","1","15800",,
"OPRDR520C020","1","15900",,
"OPRDR520C030","1","16000",,
"OPRDR520C040","1","16100",,
"OPRDR520C050","1","16200",,
"OPRDR520C060","1","16300",,
"OPRDR520C070","1","16400",,
"OPRDR520C080","1","112700",,
"OPRDR520C090","1","16500",,
"OPRDR520C100","1","16600",,
"OPRDR530C010","1","16700",,
"OPRDR530C020","1","16800",,
"OPRDR530C030","1","16900",,
"OPRDR530C040","1","17000",,
"OPRDR530C050","1","17100",,
"OPRDR530C060","1","17200",,
"OPRDR530C070","1","17300",,
"OPRDR530C080","1","17300",,
"OPRDR540C010","1","17400",,
"OPRDR540C020","1","17500",,
"OPRDR540C030","1","17600",,
"OPRDR540C040","1","17700",,
"OPRDR540C050","1","17800",,
"OPRDR540C060","1","17900",,
"OPRDR540C070","1","18000",,
"OPRDR540C080","1","128000",,
"OPRDR610C010","1","18100000",,
"OPRDR610C020","1","18200000",,
"OPRDR610C030","1","18300000",,
"OPRDR610C040","1","18400000",,
"OPRDR610C050","1","18500000",,
"OPRDR610C060","1","18600000",,
"OPRDR610C070","1","18700000",,
"OPRDR610C080","1","128800000",,
"OPRDR620C010","1","18800",,
"OPRDR620C020","1","18900",,
"OPRDR620C030","1","19000",,
"OPRDR620C040","1","19100",,
"OPRDR620C050","1","19200",,
"OPRDR620C060","1","19300",,
"OPRDR620C070","1","19400",,
"OPRDR620C080","1","133700",,
"OPRDR620C090","1","19500",,
"OPRDR620C100","1","19600",,
"OPRDR630C010","1","19700",,
"OPRDR630C020","1","19800",,
"OPRDR630C030","1","19900",,
"OPRDR630C040","1","20000",,
"OPRDR630C050","1","20100",,
"OPRDR630C060","1","20200",,
"OPRDR630C070","1","20300",,
"OPRDR630C080","1","20300",,
"OPRDR640C010","1","20400",,
"OPRDR640C020","1","20500",,
"OPRDR640C030","1","20600",,
"OPRDR640C040","1","20700",,
"OPRDR640C050","1","20800",,
"OPRDR640C060","1","20900",,
"OPRDR640C070","1","21000",,
"OPRDR640C080","1","301000",,
"OPRDR710C010","1","21100000",,
"OPRDR710C020","1","21200000",,
"OPRDR710C030","1","21300000",,
"OPRDR710C040","1","21400000",,
"OPRDR710C050","1","21500000",,
"OPRDR710C060","1","21600000",,
"OPRDR710C070","1","21700000",,
"OPRDR710C080","1","149800000",,
"OPRDR720C010","1","21800",,
"OPRDR720C020","1","21900",,
"OPRDR720C030","1","22000",,
"OPRDR720C040","1","22100",,
"OPRDR720C050","1","22200",,
"OPRDR720C060","1","22300",,
"OPRDR720C070","1","22400",,
"OPRDR720C080","1","154700",,
"OPRDR720C090","1","22500",,
"OPRDR720C100","1","22600",,
"OPRDR730C010","1","22700",,
"OPRDR730C020","1","22800",,
"OPRDR730C030","1","22900",,
"OPRDR730C040","1","23000",,
"OPRDR730C050","1","23100",,
"OPRDR730C060","1","23200",,
"OPRDR730C070","1","23300",,
"OPRDR730C080","1","23300",,
"OPRDR740C010","1","23400",,
