"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"OPRSR010C010","1","1000000",,
"OPRSR010C020","1","200",,
"OPRSR010C030","1","88888888888888",,
"OPRSR010C070","1","400",,
"OPRSR010C071","1","5000",,
"OPRSR020C070","1","400",,
"OPRSR020C071","1","5000",,
"OPRSR030C010","1","60000000000000",,
"OPRSR030C020","1","1000",,
"OPRSR030C030","1","888888888888",,
"OPRSR040C010","1","900",,
"OPRSR040C020","1","1000",,
"OPRSR040C030","1","1100",,
"OPRSR050C010","1","1200",,
"OPRSR050C020","1","1300",,
"OPRSR050C030","1","2500",,
"OPRSR060C010","1","1500",,
"OPRSR060C020","1","1600",,
"OPRSR060C030","1","1700",,
"OPRSR070C010","1","1800",,
"OPRSR070C020","1","1900",,
"OPRSR070C030","1","2000",,
"OPRSR080C010","1","2100000000000000",,
"OPRSR080C020","1","2200",,
"OPRSR080C030","1","2300",,
"OPRSR090C010","1","240000000000000000000000",,
"OPRSR090C020","1","2500",,
"OPRSR090C030","1","2600",,
"OPRSR100C010","1","2700",,
"OPRSR100C020","1","2800",,
"OPRSR100C030","1","2900",,
"OPRSR110C010","1","3000",,
"OPRSR110C020","1","3100",,
"OPRSR110C030","1","3200",,
"OPRSR110C040","1","555",,
"OPRSR110C050","1","333",,
"OPRSR110C060","1","111",,
"OPRSR120C010","1","3600",,
"OPRSR120C020","1","3700",,
"OPRSR120C030","1","3800",,
"OPRSR120C040","1","666",,
"OPRSR120C050","1","444",,
"OPRSR120C060","1","222",,
"OPRSR130C010","1","4200",,
"OPRSR130C020","1","430000000000000000000",,
"OPRSR130C030","1","4400",,
"OPRSR130C070","1","450000000000000000000000",,
"OPRSR130C071","1","5624999999999999000000000",,
"OPRSR130C080","1","4700",,
"OPRSR130C090","1","450000004900000000010100",,
"OPRSR130C100","1","-4900000000000000",,
"OPRSR130C110","1","-5000",,
"OPRSR130C120","1","-5100",,
